sens,mean_max_depth,mean_tocharian
I first person singular,8.608560007700405,0
big,4.351936839035709,0
black,7.195238704212441,0
cold of temperature,5.142499987651344,1
dirty,3.1560193324762627,0
dry,3.208032251143146,0
early,3.237718899328987,0
eight,8.608560007700405,0
far,4.051746945297627,1
five,8.608560007700405,0
full,8.608560007700405,0
good,4.98274463906772,0
green,5.34149168989069,1
hard,6.537289449460797,0
he or she third person singular,3.8698891826623036,0
heavy,8.318521634693788,0
high tall,5.233392151752629,0
hot,3.918815495938506,0.515
inside,3.033097002562917,0
late,3.9118627246389264,0
left,7.240672185000834,0
light of weight,8.592134673880246,0
long,5.291221829293753,0
many,3.2322185257800595,0
middle,3.843237898378944,0
morning,3.727605703538467,1
narrow,3.793386329155868,0
near,8.608560007700405,0
new,6.0012576810089815,0
nine,8.608560007700405,0
old of person,4.362470977772701,0
one,8.189396866119763,0
outside,3.225426810499308,0.77
red,4.795755866580576,1
right,6.229421102457591,0
round,5.249862101266452,0
seven,8.608560007700405,0
sharp,4.7150439034140685,0
short,4.892251869475872,0
six,8.608560007700405,0
small,4.155841426140215,0
soft,3.1400776506818784,0
straight,3.172722241381665,1
ten,5.245220662210178,0
ant,8.608560007700405,0
bamboo,7.142550751093318,0
belly,8.608560007700405,0
bird,5.308217099524928,0
blood,8.433625041721825,0
bone,8.592134673880246,0
branch,3.399917933803893,0
breast female,8.608560007700405,0
cloud,8.259143476079261,0
dew,4.173020342701078,0
dog,8.608560007700405,0
dream,8.608560007700405,0
dust,8.4181131980009,0
ear,8.608560007700405,0
earth soil,5.151641475998999,0
egg,8.608560007700405,0
eye,8.608560007700405,0
feather,8.127942741096213,0
fire,8.592134673880246,0
fish,8.608560007700405,0
flea,7.44619240991789,1
flower,5.159476537583057,0
foot,6.001093139969312,0
forest,6.499040248879878,0
frog,8.05293865578836,0
front front side,4.544074394333527,0
fruit,8.223936635472823,1
goat,4.543389806780069,1
grass,4.736216986999058,0
hail,3.242231805346021,0
hair of head,8.247407579579775,1
hand,8.39739157397784,0
head,8.089305702998976,0
heart,5.384611701599561,0.68
horn keratinized skin,8.073321723175981,0
house,8.309558020490195,0
knee,7.59506074220585,0
leaf,4.538473376867823,0
lip lips,8.312847192975218,1
liver,8.28142972864862,0
louse,8.608560007700405,0
lung,4.654205605045994,0
man male human,3.899032001821945,0
meat,8.330341350938731,0
moon,8.592134673880246,0
mountain,3.1560193324762627,0
mouse or rat,8.278609171616898,0
mouth,5.138503376140527,0.06
mud,3.7933863291558674,0
nail fingernail or claw,8.239602119043568,0
neck,5.519143431803693,0
needle for sewing,8.608560007700405,0
nose,7.139574833557708,0
pig,7.553341406729183,0
rain,8.608560007700405,0
road,8.333823906664572,0
root,3.9147373733736117,0
rope,3.8810213576552,0
salt,8.588569384569196,0
sand,8.608560007700405,0
seed,6.372822778747289,1
shit,8.123960531685734,0
shoulder,7.931542578411819,0
skin,5.047168924064738,0
sky,7.97337194421097,0
smoke,8.592134673880246,0
snake,8.592134673880246,0.05
snow,4.771820729179965,0.5431472081218274
son,8.608560007700405,0
spider,3.169444969155647,0
star,6.759500210814605,0
stick,4.066973247222269,1
stone a piece of,8.377776642758596,0
sun,8.608560007700405,0
tail,8.608560007700405,0
thigh,2.537048542137665,0
thunder,7.03505965146457,0
tongue,8.279564744323821,0
tooth front,8.251472170027583,0
tree,8.333823906664572,0
water,8.608560007700405,0
wind,4.959948726743382,0
wing,7.039238222265453,0
woman,4.4875253967795645,0
year,8.608560007700405,0
thick,5.525630723652401,0
thin object,8.204590140546491,0
thou second person singular,8.236418783340904,0
three,8.608560007700405,0
be alive,6.70990410282537,1
bite,3.1154923511444426,0
burn intransitive,3.1532316842505312,1
buy,5.832773437926549,1
chew,4.17568821717111,0
come,8.451788872267208,0
count,3.1835909545250565,0
cry weep,8.608560007700405,0
die,8.608560007700405,0
dig,7.049545119641288,0
drink,8.592134673880246,0
eat,8.330341350938731,0
fight,2.5783600123393753,0
fly move through air,5.950773236468057,0
forget,6.807545109807217,0
give,8.608560007700405,0
hear,3.647782999711199,0
hide conceal,1.9545172053752493,0
hold,1.8203166570815914,0
hunt,3.169215659103348,0
kill,8.608560007700405,0
laugh,8.230850238026004,0
lick,8.608560007700405,0
play,3.189148634359983,0
push,4.254900788692607,0
reside live,2.897282325963761,0
scratch,3.710574354220779,0
see,3.7188912123261955,0
shoot an arrow,7.5924386643493715,0
sing,2.605911909979281,1
sleep,8.424993240591933,0
smell perceive odor transitive,8.592134673880246,0
spit,3.2301849771676387,1
stand,8.608560007700405,1
steal,8.592134673880246,1
think reflect,3.1967410010961115,1
throw,3.927377031920094,0
vomit,7.077212453566789,0
walk,3.193828014391272,0
wipe,4.714133155946558,0
two,8.608560007700405,0
wet,4.714133155946558,0
white,4.77618460361661,0
who,8.592134673880246,0
yellow,4.714133155946558,0
